system:time_start,aet
"Jul 1, 1990",0.641
"Aug 1, 1990",0.636
"Sep 1, 1990",0.758
"Oct 1, 1990",1.522
"Nov 1, 1990",2.464
"Dec 1, 1990",2.715
"Jan 1, 1991",1.11
"Feb 1, 1991",0.466
"Mar 1, 1991",2.359
"Apr 1, 1991",2.383
"May 1, 1991",2.082
"Jun 1, 1991",0.955
"Jul 1, 1991",1.122
"Aug 1, 1991",0.95
"Sep 1, 1991",0.612
"Oct 1, 1991",1.101
"Nov 1, 1991",1.844
"Dec 1, 1991",1.99
"Jan 1, 1992",0.36
"Feb 1, 1992",0.547
"Mar 1, 1992",0.588
"Apr 1, 1992",2.913
"May 1, 1992",1.778
"Jun 1, 1992",0.811
"Jul 1, 1992",0.93
"Aug 1, 1992",0.733
"Sep 1, 1992",0.706
"Oct 1, 1992",1.217
"Nov 1, 1992",3.243
"Dec 1, 1992",3.003
"Jan 1, 1993",1.88
"Feb 1, 1993",1.616
"Mar 1, 1993",1.025
"Apr 1, 1993",2.296
"May 1, 1993",2.264
"Jun 1, 1993",1.063
"Jul 1, 1993",0.598
"Aug 1, 1993",0.689
"Sep 1, 1993",0.507
"Oct 1, 1993",1.161
"Nov 1, 1993",2.272
"Dec 1, 1993",1.596
"Jan 1, 1994",0.257
"Feb 1, 1994",0.57
"Mar 1, 1994",1.478
"Apr 1, 1994",2.884
"May 1, 1994",1.7
"Jun 1, 1994",0.895
"Jul 1, 1994",1.154
"Aug 1, 1994",0.876
"Sep 1, 1994",0.778
"Oct 1, 1994",1.667
"Nov 1, 1994",3.552
"Dec 1, 1994",2.126
"Jan 1, 1995",0.796
"Feb 1, 1995",1.201
"Mar 1, 1995",2.165
"Apr 1, 1995",3.643
"May 1, 1995",1.642
"Jun 1, 1995",0.755
"Jul 1, 1995",0.855
"Aug 1, 1995",0.982
"Sep 1, 1995",0.846
"Oct 1, 1995",2.164
"Nov 1, 1995",2.34
"Dec 1, 1995",1.771
"Jan 1, 1996",0.663
"Feb 1, 1996",0.936
"Mar 1, 1996",2.337
"Apr 1, 1996",2.057
"May 1, 1996",1.738
"Jun 1, 1996",1.076
"Jul 1, 1996",0.959
"Aug 1, 1996",0.676
"Sep 1, 1996",0.657
"Oct 1, 1996",0.596
"Nov 1, 1996",2.57
"Dec 1, 1996",0.494
"Jan 1, 1997",0.289
"Feb 1, 1997",0.07
"Mar 1, 1997",1.453
"Apr 1, 1997",3.684
"May 1, 1997",1.741
"Jun 1, 1997",1.144
"Jul 1, 1997",1.025
"Aug 1, 1997",0.936
"Sep 1, 1997",0.473
"Oct 1, 1997",3.424
"Nov 1, 1997",3.459
"Dec 1, 1997",3.305
"Jan 1, 1998",2.284
"Feb 1, 1998",2.024
"Mar 1, 1998",1.942
"Apr 1, 1998",2.953
"May 1, 1998",2.437
"Jun 1, 1998",1.563
"Jul 1, 1998",1.217
"Aug 1, 1998",0.975
"Sep 1, 1998",0.789
"Oct 1, 1998",0.874
"Nov 1, 1998",2.301
"Dec 1, 1998",0.672
"Jan 1, 1999",0.494
"Feb 1, 1999",0.166
"Mar 1, 1999",2.368
"Apr 1, 1999",2.635
"May 1, 1999",1.324
"Jun 1, 1999",0.775
"Jul 1, 1999",0.952
"Aug 1, 1999",0.999
"Sep 1, 1999",0.744
"Oct 1, 1999",1.361
"Nov 1, 1999",2.73
"Dec 1, 1999",1.871
"Jan 1, 2000",0.617
"Feb 1, 2000",0.24
"Mar 1, 2000",1.179
"Apr 1, 2000",2.048
"May 1, 2000",1.311
"Jun 1, 2000",0.862
"Jul 1, 2000",0.632
"Aug 1, 2000",0.877
"Sep 1, 2000",0.741
"Oct 1, 2000",1.359
"Nov 1, 2000",2.326
"Dec 1, 2000",1.126
"Jan 1, 2001",1.5
"Feb 1, 2001",0.438
"Mar 1, 2001",1.928
"Apr 1, 2001",2.681
"May 1, 2001",1.373
"Jun 1, 2001",0.927
"Jul 1, 2001",0.875
"Aug 1, 2001",0.747
"Sep 1, 2001",0.671
"Oct 1, 2001",0.949
"Nov 1, 2001",3.153
"Dec 1, 2001",1.472
"Jan 1, 2002",1.01
"Feb 1, 2002",1.62
"Mar 1, 2002",1.533
"Apr 1, 2002",3.657
"May 1, 2002",2.147
"Jun 1, 2002",0.834
"Jul 1, 2002",0.75
"Aug 1, 2002",0.857
"Sep 1, 2002",1.209
"Oct 1, 2002",2.175
"Nov 1, 2002",2.361
"Dec 1, 2002",3.236
"Jan 1, 2003",0.953
"Feb 1, 2003",0.397
"Mar 1, 2003",1.614
"Apr 1, 2003",4.209
"May 1, 2003",2.379
"Jun 1, 2003",1.047
"Jul 1, 2003",0.785
"Aug 1, 2003",0.699
"Sep 1, 2003",0.833
"Oct 1, 2003",0.961
"Nov 1, 2003",2.218
"Dec 1, 2003",1.205
"Jan 1, 2004",1.278
"Feb 1, 2004",0.584
"Mar 1, 2004",1.369
"Apr 1, 2004",3.27
"May 1, 2004",1.049
"Jun 1, 2004",0.547
"Jul 1, 2004",0.416
"Aug 1, 2004",0.438
"Sep 1, 2004",0.633
"Oct 1, 2004",2.023
"Nov 1, 2004",2.9
"Dec 1, 2004",1.657
"Jan 1, 2005",0.558
"Feb 1, 2005",0.31
"Mar 1, 2005",1.583
"Apr 1, 2005",1.719
"May 1, 2005",1.717
"Jun 1, 2005",0.481
"Jul 1, 2005",0.52
"Aug 1, 2005",0.652
"Sep 1, 2005",0.472
"Oct 1, 2005",1.471
"Nov 1, 2005",1.573
"Dec 1, 2005",0.421
"Jan 1, 2006",0.458
"Feb 1, 2006",0.702
"Mar 1, 2006",2.461
"Apr 1, 2006",3.118
"May 1, 2006",1.88
"Jun 1, 2006",0.853
"Jul 1, 2006",0.891
"Aug 1, 2006",1.021
"Sep 1, 2006",1.29
"Oct 1, 2006",2.446
"Nov 1, 2006",3.056
"Dec 1, 2006",2.636
"Jan 1, 2007",1.433
"Feb 1, 2007",1.022
"Mar 1, 2007",1.607
"Apr 1, 2007",2.824
"May 1, 2007",1.722
"Jun 1, 2007",0.708
"Jul 1, 2007",0.979
"Aug 1, 2007",1.341
"Sep 1, 2007",1.262
"Oct 1, 2007",1.458
"Nov 1, 2007",1.975
"Dec 1, 2007",1.702
"Jan 1, 2008",0.633
"Feb 1, 2008",0.762
"Mar 1, 2008",3.02
"Apr 1, 2008",2.617
"May 1, 2008",1.682
"Jun 1, 2008",0.669
"Jul 1, 2008",0.684
"Aug 1, 2008",0.752
"Sep 1, 2008",0.832
"Oct 1, 2008",1.657
"Nov 1, 2008",3.011
"Dec 1, 2008",0.82
"Jan 1, 2009",0.837
"Feb 1, 2009",0.874
"Mar 1, 2009",0.779
"Apr 1, 2009",2.171
"May 1, 2009",1.632
"Jun 1, 2009",0.85
"Jul 1, 2009",0.593
"Aug 1, 2009",0.62
"Sep 1, 2009",0.517
"Oct 1, 2009",2.937
"Nov 1, 2009",2.303
"Dec 1, 2009",2.946
"Jan 1, 2010",1.382
"Feb 1, 2010",1.31
"Mar 1, 2010",2.826
"Apr 1, 2010",2.946
"May 1, 2010",1.657
"Jun 1, 2010",0.773
"Jul 1, 2010",0.63
"Aug 1, 2010",0.924
"Sep 1, 2010",0.497
"Oct 1, 2010",1.133
"Nov 1, 2010",1.991
"Dec 1, 2010",1.749
"Jan 1, 2011",0.359
"Feb 1, 2011",0.906
"Mar 1, 2011",2.57
"Apr 1, 2011",1.951
"May 1, 2011",1.689
"Jun 1, 2011",0.623
"Jul 1, 2011",0.639
"Aug 1, 2011",0.633
"Sep 1, 2011",0.832
"Oct 1, 2011",2.57
"Nov 1, 2011",3.267
"Dec 1, 2011",2.052
"Jan 1, 2012",1.101
"Feb 1, 2012",0.586
"Mar 1, 2012",0.757
"Apr 1, 2012",2.439
"May 1, 2012",1.899
"Jun 1, 2012",0.884
"Jul 1, 2012",0.838
"Aug 1, 2012",1.004
"Sep 1, 2012",0.944
