system:time_start,Ec,Ei,Es
"Oct 26, 2019",1.516,0.153,1.481
"Nov 26, 2019",1.753,0.168,1.321
"Dec 26, 2019",1.567,0.121,0.999
"Jan 26, 2020",1.371,0.082,1.532
"Feb 26, 2020",1.259,0.114,1.235
"Mar 26, 2020",1.344,0.15,1.736
"Apr 26, 2020",1.378,0.148,1.609
"May 26, 2020",1.109,0.082,0.671
"Jun 26, 2020",0.904,0.064,0.492
"Jul 26, 2020",0.877,0.062,0.533
"Aug 26, 2020",0.904,0.058,0.43
"Sep 26, 2020",0.943,0.073,0.676
"Oct 26, 2020",1.137,0.1,1.5
"Nov 26, 2020",1.28,0.073,1.391
